Ship,Date,country,shiptype,captain_name
nfmdxr,01-03-1730,Norway,LNG Tanker,Cor Caroli
pbcxzk,06-05-1605,Sweden,LNG Tanker,Nembus
pkraki,09-07-1673,Italy,Container Ship,Sualocin
brfagw,07-07-1847,United States (USA),Bulk Carrier,Atlas
dgkozr,28-04-1843,Japan,Container Ship,Taygeta
dhqtko,19-08-1628,Netherlands,Passenger (Cruise) Ship,Hatysa
ifjwqm,17-06-1987,Japan,Bulk Carrier,Bellatrix
apoldx,02-10-1542,Angola,Crude Oil Tanker,Mirach
xwxjyy,02-05-1796,United States (USA),Bulk Carrier,Atik
skjdiy,25-06-1562,Denmark,FSO,Mebsuta
soxmqz,14-02-1881,Brazil,Bulk Carrier,Lilii Borea
kmvhia,28-03-1802,Estonia,Bulk Carrier,Mimosa
skjdiy,26-11-1534,Libya,LNG Tanker,Menkar
padjrb,19-01-1732,United Kingdom (UK),Container Ship,Procyon
csamjo,28-08-1825,Canada,Crude Oil Tanker,Intercrus
sqummr,04-07-1933,United States (USA),LNG Tanker,Aspidiske
lrwfii,16-06-1822,Italy,Passenger (Cruise) Ship,Rasalas
dnygom,09-03-1963,Vietnam,Container Ship,Alterf
wcpvhl,31-12-1704,Qatar,Crude Oil Tanker,Ancha
txbqty,26-03-1649,Russia,Crude Oil Tanker,Tonatiuh
kteicb,02-09-1532,United Kingdom (UK),Crude Oil Tanker,Spica
mmjdsa,05-08-1678,Canada,Container Ship,Rigel
wtzvgy,12-08-1652,Iceland,Bulk Carrier,Alya
axdlok,20-03-1885,Japan,Crude Oil Tanker,Alya
hwajfx,06-06-1882,Turkey,Container Ship,Guniibuu
dkatus,16-09-1559,United States (USA),Bulk Carrier,Situla
ufwqnc,23-09-1849,Sweden,Bulk Carrier,Nembus
wtzvgy,22-09-1938,Chile,LNG Tanker,Kang
udwrnb,03-08-1739,Russia,Bulk Carrier,Eltanin
fraimg,09-05-1846,Italy,Crude Oil Tanker,Alkalurops
xxwayt,30-12-1835,Montenegro,LNG Tanker,Porrima
woaqlg,02-11-1514,United Kingdom (UK),Container Ship,Rigil Kentaurus
ihtfbj,19-12-1591,New Zealand,Bulk Carrier,Felis
sdkpon,26-08-1884,Estonia,LNG Tanker,Shaula
bupecb,09-03-1952,Croatia,Bulk Carrier,Phact
lvqrmw,25-12-1522,Argentina,Crude Oil Tanker,Mesarthim
liadzp,10-05-1967,Croatia,Bulk Carrier,Capella
adbjwz,07-05-1578,Japan,Bulk Carrier,Diadem
xtziyw,21-10-1625,Greece,Container Ship,Ogma
ivskib,21-11-1650,Netherlands,Crude Oil Tanker,Praecipua
okdcge,10-06-1856,Greece,Bulk Carrier,Albaldah
ekokec,14-06-1509,Chile,Bulk Carrier,Mirach
igkmtz,13-06-1942,Spain,Container Ship,Alniyat
idogbk,26-02-1871,Norway,LNG Tanker,Xuange
llmmow,09-04-1825,Norway,Crude Oil Tanker,Zubenelhakrabi
xltvhm,21-08-1562,Poland,Bulk Carrier,Chara
jurgqm,05-05-1972,China,Crude Oil Tanker,Vindemiatrix
bzruge,10-04-1752,United States (USA),LNG Tanker,Toliman
ujzton,23-08-1734,United Kingdom (UK),Crude Oil Tanker,Guniibuu
bogjbx,06-03-1958,Angola,Crude Oil Tanker,Helvetios
pgkvdp,21-01-1542,Denmark,Bulk Carrier,Pipirima
ugeuju,10-01-1905,South Africa,Crude Oil Tanker,Menkent
gihdsx,17-06-1920,Denmark,Crude Oil Tanker,Alnair
fzhfrh,20-02-1850,Estonia,Bulk Carrier,Regulus
jjxwro,02-06-1551,United States (USA),LNG Tanker,Kitalpha
