Ship,Date,country,shiptype,captain_name
CSS Drewry,10-11-1848,Iceland,LNG Tanker,Jishui
Sydney Packet,25-02-1579,United Kingdom (UK),Bulk Carrier,Jishui
Phoenix,29-12-1626,Panama,Crude Oil Tanker,Canopus
Santa Clara,06-08-1841,United Kingdom (UK),LNG Tanker,Kaus Media
City of Ainsworth,19-12-1688,Sao Tome & Principe,LNG Tanker,Propus
Pacific,26-05-1691,Australia,LNG Tanker,Arneb
SMS Frauenlob,09-07-1537,Turkey,LNG Tanker,Taiyangshou
Augustus,06-08-1960,United Kingdom (UK),LNG Tanker,Brachium
R.P. Resor,27-02-1771,Iceland,Container Ship,Nunki
U-138,02-07-1870,Greece,Bulk Carrier,Markab
USS Saxis,03-10-1635,Norway,Crude Oil Tanker,Pipirima
HMS Gala,08-11-1717,Greece,Bulk Carrier,Albali
U-275,08-10-1604,Norway,Container Ship,Algol
Auguste,22-04-1913,Iran,LNG Tanker,Muliphein
HMAS Karangi,21-10-1970,United States (USA),LNG Tanker,Titawin
Minekaze,27-03-1710,Mexico,Crude Oil Tanker,Nashira
SMS Seeadler,07-06-1965,Poland,Bulk Carrier,Pollux
Alarm,26-10-1590,Sweden,Container Ship,Libertas
Hickory Stick,27-03-1710,Russia,Crude Oil Tanker,Fumalsamakah
HMAS Sydney,11-06-1547,United States (USA),Bulk Carrier,Adhil
Ozmo,10-09-1653,Togolese Rep,Bulk Carrier,Alioth
HMAS Olive Cam,22-11-1835,Spain,Container Ship,Tania Australis
Unknown,21-03-1613,New Zealand,Bulk Carrier,Zubeneschamali
Casma,08-06-1685,Chile,FSO,Alkaphrah
Queen Mary,05-05-1981,Montenegro,Crude Oil Tanker,Saclateni
Fin Barge,10-04-1752,Latvia,LNG Tanker,Phact
Bosiljka,26-05-1606,US Minor Outlying Isls,Crude Oil Tanker,Talitha
Thames,15-04-1743,United Kingdom (UK),Container Ship,Alya
Rosalind,05-05-1972,United Kingdom (UK),Bulk Carrier,Anser
HMAS Paterson,18-04-1644,Canada,Passenger (Cruise) Ship,Cebalrai
Pliny,30-10-1572,France,LNG Tanker,Paikauhale
USS Teaser,22-01-1664,United States (USA),Bulk Carrier,Ain
HMS Lady Shirley,02-03-1958,Brazil,Container Ship,Zosma
USS Moody,31-03-1810,United States (USA),Crude Oil Tanker,Almach
